"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"BT2","1","Battery_Cell","","","","TerminalBlock_Phoenix:TerminalBlock_Phoenix_PT-1,5-2-3.5-H_1x02_P3.50mm_Horizontal","~"
"C1,C2","2","10 µF","","","","Capacitor_THT:CP_Radial_Tantal_D4.5mm_P2.50mm","~"
"D2","1","~","","","","ScottoKeebs_Components:Diode_DO-35",""
"J1","1","USB Breakout module","","","","USB Breakout board:Usb_breakout board","~"
"J2","1","Power out","","","","TerminalBlock_Phoenix:TerminalBlock_Phoenix_MPT-0,5-3-2.54_1x03_P2.54mm_Horizontal","~"
"J6","1","Charging module","","","","Charging module:TP4056-Module","~"
"J7","1","Boost converter","","","","Boost_converter_module:Boost_converter_3A","~"
"Q2","1","Q_PMOS_GSD","","","","Package_TO_SOT_THT:TO-220-3_Vertical","~"
"R6","1","100k","","","","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal","~"
"U4","1","AMS1117-3.3","","","","Package_TO_SOT_SMD:SOT-223-3_TabPin2","http://www.advanced-monolithic.com/pdf/ds1117.pdf"
