Designator,Mid X,Mid Y,Rotation,Layer
C1,227.6,-192.88125,0.0,top
C2,173.83125,-192.88125,270.0,top
C3,169.06875,-192.88125,270.0,top
C4,226.263638,-185.7375,0.0,top
C5,164.30625,-192.88125,0.0,top
C6,164.30625,-196.93125,0.0,top
C7,152.4,-99.967613,90.0,top
C8,154.78125,-92.86875,270.0,top
C9,202.40625,-178.59375,90.0,top
D1,235.73875,-83.34375,0.0,top
D2,243.99875,-83.34375,0.0,top
D3,223.8375,-200.025,0.0,top
D4,240.50625,-197.64375,0.0,top
J1,204.62875,-198.63875,0.0,bottom
J2,242.8875,-188.11875,90.0,top
M1,198.59625,-159.385,0.0,top
R1,242.8875,-174.54375,0.0,top
R2,242.8875,-178.59375,0.0,top
R3,174.215,-197.64375,0.0,top
R4,245.26875,-150.97125,270.0,top
R5,240.50625,-90.4875,180.0,top
R6,241.4115,-125.25375,90.0,top
SW1,230.66375,-138.32875,0.0,top
SW2,161.925,-138.32875,0.0,top
SW3,238.4115,-99.299,0.0,top
SW4,238.4115,-111.20525,0.0,top
SW5,235.6375,-164.30625,0.0,bottom
U1,171.35025,-179.595,90.0,top
U2,209.55,-168.275,0.0,top
U3,195.28,-104.775,0.0,top
U4,194.49175,-142.39875,180.0,bottom
U5,189.82185,-188.11875,90.0,top
U7,216.69375,-190.5,270.0,top
U8,180.81625,-159.54375,0.0,top
