Designator,Footprint,Quantity,Value,LCSC Part #
BT2,"TerminalBlock_Phoenix_PT-1,5-2-3.5-H_1x02_P3.50mm_Horizontal",1,Battery_Cell,
"C1, C2",CP_Radial_Tantal_D4.5mm_P2.50mm,2,10 µF,
D2,Diode_DO-35,1,~,
J1,Usb_breakout board,1,USB Breakout module,
J2,"TerminalBlock_Phoenix_MPT-0,5-3-2.54_1x03_P2.54mm_Horizontal",1,Power out,
J3,charge_display,1,Charge display,
J6,TP4056-Module,1,Charging module,
J7,Boost_converter_3A,1,Boost converter,
Q2,TO-220-3_Vertical,1,Q_PMOS_GSD,
R6,R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal,1,100k,
SW1,Switch_pads,1,SW_Push,
U4,SOT-223-3_TabPin2,1,AMS1117-3.3,
